time,temperature_2m_x,relative_humidity_2m_x,precipitation_x,surface_pressure_x,temperature_2m_y,relative_humidity_2m_y,precipitation_y,surface_pressure_y
2022-12-31,18.700000000000003,78.5,0.0,911.1,18.700000000000003,78.5,0.0,911.0999999999999
2023-12-31,21.075,76.75,0.0,913.075,21.075,76.75,0.0,913.075
